policy_id,date,policy_type,region,channel,premium_amount,claim_amount,csat_score,nps_score,fcr_flag,ticket_resolution_hrs,loss_ratio
1,2023-12-15,Health,North,Agent,11192.76,4520.44,4.6,66,1,3.7,0.404
2,2023-05-07,Life,North,Agent,5786.72,1430.24,3.4,-36,1,0.6,0.247
3,2023-02-26,Health,East,Direct,17540.33,1757.59,3.7,-22,1,22.3,0.1
4,2023-09-09,Life,North,Agent,8166.84,1217.79,4.1,-9,1,23.2,0.149
5,2023-05-06,Home,North,Partner,31641.87,639.35,3.5,72,1,4.3,0.02
6,2023-03-07,Travel,East,Direct,13778.87,1066.96,2.9,30,1,7.4,0.077
7,2023-01-23,Travel,South,Direct,7192.11,2354.34,4.0,73,1,81.1,0.327
8,2023-03-01,Travel,East,Direct,3650.06,609.72,3.3,-94,1,40.4,0.167
9,2023-10-24,Auto,East,Direct,18448.07,3193.19,3.3,-27,0,7.0,0.173
10,2023-09-08,Health,West,Direct,8780.58,1177.34,4.9,-61,0,32.9,0.134
11,2023-08-30,Auto,East,Agent,12564.23,3623.64,3.1,-72,1,59.8,0.288
12,2023-09-06,Health,East,Agent,16185.98,4141.51,4.9,-27,1,4.7,0.256
13,2023-04-28,Health,East,Partner,10677.3,1990.63,3.7,-91,0,11.2,0.186
14,2023-12-14,Travel,South,Agent,8682.34,2466.89,3.7,-29,1,9.2,0.284
15,2023-08-10,Health,South,Agent,12335.53,3085.09,4.2,-64,1,25.6,0.25
16,2023-08-27,Auto,South,Partner,23873.59,8343.99,4.0,73,1,18.2,0.35
17,2023-07-07,Auto,East,Partner,13454.99,3352.58,4.2,-6,1,29.1,0.249
18,2023-11-15,Health,West,Agent,10649.02,599.65,4.4,-35,1,76.1,0.056
19,2023-08-23,Travel,West,Agent,10191.11,720.16,3.7,37,0,81.2,0.071
20,2023-05-01,Auto,West,Direct,24824.54,1802.4,3.7,26,1,12.2,0.073
21,2023-01-13,Health,East,Direct,6805.17,1538.02,3.9,88,1,22.0,0.226
22,2023-10-02,Travel,North,Direct,13858.97,3323.83,3.6,41,1,19.8,0.24
23,2023-08-03,Auto,West,Agent,14694.96,5164.87,4.1,33,1,20.6,0.351
24,2023-07-04,Auto,East,Partner,26170.57,6840.58,4.4,-55,0,34.9,0.261
25,2023-05-10,Home,North,Partner,9948.05,1539.86,3.1,43,0,6.3,0.155
26,2023-08-16,Travel,West,Direct,4497.14,1063.11,3.9,5,1,77.2,0.236
27,2023-10-03,Auto,West,Direct,14582.33,5795.79,5.0,52,0,48.8,0.397
28,2023-04-30,Home,West,Agent,16534.38,3511.67,3.1,-99,1,59.7,0.212
29,2023-05-18,Auto,West,Direct,12205.0,1695.89,3.6,73,0,14.8,0.139
30,2023-07-28,Home,East,Partner,18662.59,3067.68,3.9,-69,0,20.1,0.164
31,2023-11-09,Life,West,Partner,9253.62,1185.75,4.8,94,1,35.9,0.128
32,2023-02-19,Health,South,Partner,27303.46,10195.03,2.9,-23,1,46.5,0.373
33,2023-12-27,Auto,North,Direct,9061.32,1557.2,4.1,-90,1,3.6,0.172
34,2023-05-22,Health,West,Agent,9278.52,2680.03,5.0,-62,1,21.5,0.289
35,2023-02-28,Travel,North,Agent,18415.43,4517.14,3.3,74,1,5.1,0.245
36,2023-07-25,Health,South,Agent,18755.76,4535.01,4.6,-35,1,4.2,0.242
37,2023-08-10,Auto,South,Partner,9319.88,1157.4,4.3,39,1,5.9,0.124
38,2023-07-02,Life,South,Direct,7793.91,827.85,3.3,-66,1,19.3,0.106
39,2023-03-05,Auto,North,Direct,20602.97,3702.88,4.8,42,1,4.2,0.18
40,2023-10-06,Auto,South,Direct,16008.43,964.05,2.8,-84,1,21.2,0.06
41,2023-10-24,Health,North,Direct,11974.36,1057.74,4.6,84,1,8.5,0.088
42,2023-09-18,Health,North,Direct,10883.23,1911.35,2.8,93,1,31.6,0.176
43,2023-09-03,Life,West,Direct,30549.22,15652.28,3.4,-93,1,9.5,0.512
44,2023-12-22,Life,West,Direct,8497.54,3366.13,4.1,75,1,2.7,0.396
45,2023-02-22,Travel,West,Agent,18713.12,8184.38,3.8,-91,1,17.5,0.437
46,2023-07-06,Auto,North,Agent,19680.17,852.81,5.0,-95,0,9.8,0.043
47,2023-05-09,Auto,West,Direct,9381.7,1035.77,3.8,57,1,15.6,0.11
48,2023-11-27,Life,East,Partner,11589.87,851.53,4.7,-57,1,35.9,0.073
49,2023-05-25,Life,East,Partner,11050.73,3451.03,3.0,28,1,24.8,0.312
50,2023-08-28,Health,East,Agent,14691.42,1811.15,4.9,-82,0,6.2,0.123
51,2023-09-19,Travel,North,Direct,3430.98,1443.63,4.2,-21,1,22.4,0.421
52,2023-01-25,Auto,West,Direct,19945.63,4016.33,3.4,29,1,33.7,0.201
53,2023-02-10,Auto,West,Direct,16617.8,4116.63,4.5,16,0,2.8,0.248
54,2023-11-25,Health,South,Agent,12380.64,1223.51,5.0,95,1,0.4,0.099
55,2023-01-02,Travel,South,Direct,15312.55,5086.85,3.7,-65,1,11.8,0.332
56,2023-10-18,Auto,West,Partner,15956.76,2569.18,3.7,70,1,1.6,0.161
57,2023-08-08,Auto,West,Agent,10567.81,4295.44,3.2,71,1,33.7,0.406
58,2023-04-19,Auto,East,Direct,17020.94,2250.19,3.8,42,1,0.1,0.132
59,2023-07-25,Health,East,Direct,12778.57,376.91,4.1,-87,0,34.6,0.029
60,2023-09-05,Travel,South,Agent,10259.94,3540.71,2.5,38,1,130.0,0.345
61,2023-04-25,Travel,West,Agent,9618.57,2797.19,4.2,49,1,17.4,0.291
62,2023-08-29,Health,North,Agent,16178.5,2581.16,3.4,-79,1,0.2,0.16
63,2023-02-16,Health,North,Agent,17820.72,6320.65,3.7,93,1,11.0,0.355
64,2023-08-19,Health,North,Direct,8224.63,1940.23,4.4,17,1,16.1,0.236
65,2023-12-21,Life,South,Partner,3924.94,571.76,3.5,56,0,9.4,0.146
66,2023-03-03,Life,South,Direct,18118.52,2050.95,4.1,43,1,17.2,0.113
67,2023-05-28,Health,West,Direct,8101.19,1269.9,5.0,99,1,9.8,0.157
68,2023-06-19,Life,West,Partner,24165.59,2666.55,3.7,32,1,2.6,0.11
69,2023-06-20,Health,North,Partner,14615.28,3086.14,4.2,-73,1,0.1,0.211
70,2023-11-03,Auto,North,Agent,25646.78,3559.09,3.3,55,1,71.7,0.139
71,2023-06-26,Health,West,Direct,22108.45,4847.63,4.2,-57,1,14.1,0.219
72,2023-07-29,Life,West,Direct,17675.69,6017.83,3.2,30,1,9.3,0.34
73,2023-08-13,Life,East,Partner,21299.33,2479.82,5.0,-39,1,4.5,0.116
74,2023-10-18,Life,North,Agent,9079.74,721.64,4.3,31,1,0.3,0.079
75,2023-05-25,Health,North,Partner,12454.92,1009.86,3.8,-17,1,37.4,0.081
76,2023-06-20,Auto,West,Partner,20983.27,5372.62,4.0,7,1,17.5,0.256
77,2023-11-09,Health,West,Direct,13175.88,968.81,3.8,44,1,2.3,0.074
78,2023-04-23,Travel,North,Agent,9127.86,2864.46,4.9,-80,1,5.6,0.314
79,2023-01-15,Life,North,Partner,8777.4,989.25,4.8,-70,1,3.2,0.113
80,2023-07-23,Health,East,Agent,7984.49,138.22,3.9,35,1,49.8,0.017
81,2023-06-07,Health,East,Direct,4583.8,1705.47,2.5,42,0,2.9,0.372
82,2023-12-14,Health,South,Agent,11955.14,832.75,3.0,-79,1,6.2,0.07
83,2023-07-30,Auto,North,Agent,16614.97,73.73,4.1,85,1,27.5,0.004
84,2023-03-06,Life,North,Partner,5138.22,1010.23,3.7,59,1,21.5,0.197
85,2023-12-25,Health,West,Agent,18404.19,2512.43,4.1,-41,0,5.1,0.137
86,2023-12-31,Life,East,Direct,9446.47,1687.48,3.6,-73,1,22.5,0.179
87,2023-03-29,Travel,West,Partner,9162.6,873.43,4.2,52,0,16.6,0.095
88,2023-06-11,Auto,South,Direct,5964.47,1699.68,3.8,80,1,34.1,0.285
89,2023-07-30,Life,West,Agent,8344.02,1487.24,4.5,-43,1,39.1,0.178
90,2023-12-19,Travel,North,Direct,7457.51,343.75,4.8,75,1,26.5,0.046
91,2023-05-25,Health,South,Partner,12007.02,1387.69,4.3,44,1,27.4,0.116
92,2023-12-08,Health,South,Direct,7475.81,480.2,4.4,75,0,44.0,0.064
93,2023-08-04,Auto,East,Direct,11620.82,3475.3,4.9,-48,1,29.7,0.299
94,2023-09-11,Health,South,Agent,28399.3,34222.706135868146,2.5,36,1,20.4,1.205
95,2023-08-29,Auto,South,Direct,7889.78,2485.29,4.1,95,1,17.1,0.315
96,2023-12-17,Health,East,Direct,6311.82,3533.15,4.7,82,1,10.5,0.56
97,2023-11-29,Auto,South,Direct,11945.76,3437.28,3.6,99,0,18.1,0.288
98,2023-01-23,Travel,East,Direct,11789.6,668.78,2.9,-3,0,2.3,0.057
99,2023-10-25,Auto,North,Partner,9792.6,1726.72,3.0,-66,1,17.0,0.176
100,2023-03-08,Travel,North,Agent,5192.63,1423.86,4.7,-87,0,16.4,0.274
101,2023-04-13,Health,North,Direct,7664.29,1807.54,3.9,59,1,47.8,0.236
102,2023-07-24,Life,West,Direct,3866.62,702.51,3.1,67,1,26.5,0.182
103,2023-02-18,Auto,South,Direct,15696.11,3186.54,3.0,-70,1,12.9,0.203
104,2023-10-02,Auto,West,Direct,12135.76,3481.9,4.2,93,1,6.3,0.287
105,2023-09-24,Home,South,Agent,6354.08,1831.5,4.5,-16,1,37.4,0.288
106,2023-09-01,Auto,East,Direct,48769.91,8745.01,4.4,88,1,30.7,0.179
107,2023-01-23,Auto,East,Agent,12205.74,747.81,4.2,87,1,9.2,0.061
108,2023-10-13,Travel,North,Agent,21148.19,3797.89,4.5,26,1,23.8,0.18
109,2023-08-16,Travel,West,Agent,17382.77,8049.4,2.9,16,0,16.4,0.463
110,2023-07-10,Health,East,Agent,27659.29,1694.31,4.0,25,1,0.2,0.061
111,2023-01-02,Home,North,Direct,23248.57,11326.12,3.7,-80,0,17.7,0.487
112,2023-11-23,Health,West,Direct,16228.89,511.89,3.2,72,1,33.8,0.032
113,2023-08-14,Travel,West,Direct,14472.86,2941.76,4.1,90,0,52.7,0.203
114,2023-01-25,Health,South,Agent,9803.5,3591.46,5.0,64,1,33.4,0.366
115,2023-12-25,Health,North,Agent,11072.84,4018.56,4.3,84,1,67.0,0.363
116,2023-10-24,Auto,North,Agent,13097.77,693.18,3.2,-84,1,24.0,0.053
117,2023-05-16,Life,North,Partner,7366.65,481.62,5.0,34,1,26.7,0.065
118,2023-01-01,Travel,South,Agent,8262.03,149.8,5.0,71,1,0.1,0.018
119,2023-06-23,Health,West,Direct,6640.84,369.24,4.4,-70,1,41.5,0.056
120,2023-02-03,Home,East,Direct,11189.47,3378.14,4.1,82,1,105.2,0.302
